Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
716	0.240492788	0.230469708	0.262052339	0.308861218	0.042556191	0.132536449
717	0.24724752	0.236747958	0.267857071	0.310194111	0.042688482	0.133044925
718	0.253840906	0.242925847	0.273442589	0.311461103	0.042811912	0.133527669
719	0.260318968	0.249059709	0.278865346	0.312731685	0.042945006	0.134019847
720	0.266670639	0.255140561	0.28413059	0.314018928	0.04307777	0.134525143
721	0.27286783	0.261136241	0.289213891	0.315295613	0.043206908	0.135030931
722	0.278902839	0.267038557	0.294113288	0.31659345	0.04335534	0.135547498
723	0.284757277	0.272825392	0.298811696	0.317893472	0.043509289	0.136060876
724	0.290414401	0.278475524	0.30330821	0.319179426	0.043652763	0.136564398
725	0.295841027	0.28395517	0.307578891	0.320439277	0.04378808	0.137056839
726	0.301063667	0.289283504	0.311648749	0.321689543	0.043907323	0.137539716
727	0.306068282	0.2944454	0.315516813	0.322936052	0.04402427	0.138017865
728	0.310847073	0.299425795	0.31919164	0.324206239	0.044152284	0.138508332
729	0.315393091	0.304214475	0.322660737	0.325476755	0.044284704	0.138991304
730	0.319706971	0.308809482	0.325936428	0.326739785	0.044417567	0.139467176
731	0.323736468	0.31315435	0.328974508	0.327941487	0.044537217	0.139914865
732	0.327492439	0.317242325	0.331777552	0.329108381	0.04465212	0.140349051
733	0.331024589	0.321119214	0.334400336	0.330279926	0.044766037	0.14078576
734	0.334291878	0.324740333	0.336808528	0.33140672	0.044880765	0.141202302
735	0.337323981	0.328128883	0.339027658	0.332511795	0.044983463	0.141609832
736	0.340112858	0.331271213	0.341050933	0.333596546	0.045099815	0.142017796
737	0.342716662	0.334223607	0.342938292	0.334703382	0.04523613	0.142438462
738	0.345135686	0.336982931	0.344691258	0.335814238	0.045361971	0.142852566
739	0.347391158	0.339559467	0.346328512	0.336941272	0.045491336	0.143271125
740	0.349496158	0.341965918	0.347861807	0.338094938	0.045631371	0.143697331
741	0.351437919	0.3441909	0.349275435	0.339246576	0.045759192	0.144110273
742	0.353251361	0.346265516	0.350607737	0.340426562	0.045888445	0.144539672
743	0.354911711	0.348168604	0.351835349	0.341604882	0.04601517	0.144967008
744	0.356467191	0.349945844	0.352994244	0.342811137	0.046142153	0.145402284
745	0.357924871	0.351605527	0.354094944	0.344053427	0.046276405	0.145858945
